"id","dim0","dim1","propostas","links"
1,468,32,"PEC 457/2005;PL 2211/2007;PLP 177/2012;PEC 197/2012;PL 4246/2012;REQ 7492/2013 => PL 4372/2012;PEC 352/2013;PDC 1410/2013;PEC 358/2013;REQ 9909/2014 => PL 5201/2013;PL 7735/2014;REQ 567/2015;REQ 739/2015 => PL 6361/2013;REQ 784/2015;REQ 567/2015 CPIPETRO;REQ 739/2015 CPIPETRO;REQ 784/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=513555;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=992186;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1012324;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1015994;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1075601;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1176709;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200480;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1200541;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1241583;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1262635;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1301932;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305021;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305768;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1314240;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1332808;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1337335"
2,464,55,"PEC 457/2005;PEC 590/2006;PL 7699/2006;PL 3771/2012;REQ 7492/2013 => PL 4372/2012;PLP 302/2013;PL 7469/2014;PL 7924/2014;REQ 567/2015;PRC 11/2015;REQ 739/2015 => PL 6361/2013;REQ 784/2015;REQ 796/2015 => PL 2177/2011;REQ 567/2015 CPIPETRO;REQ 739/2015 CPIPETRO;REQ 784/2015 CPIPETRO;REQ 796/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432013;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432201;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=986323;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1075601;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1111186;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1249462;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275767;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1301932;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1303600;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305021;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1305768;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1306224;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1314240;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1332808;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1337335;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1338736"
3,468,56,"PEC 590/2006;PL 7699/2006;PL 3771/2012;PLP 302/2013;PDC 1287/2013;PL 7469/2014;PL 7924/2014;PRC 11/2015;REQ 796/2015 => PL 2177/2011;REQ 894/2015 => PL 623/2015;REQ 796/2015 CPIPETRO;REQ 894/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432013;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432201;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=986323;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1111186;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1132688;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1249462;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1275767;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1303600;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1306224;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1308012;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1338736;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1351229"
4,463,47,"PLP 302/2013;PDC 1287/2013;PL 7469/2014;REQ 894/2015 => PL 623/2015;REQ 1030/2015 => PL 644/2015;REQ 1108/2015 => PLP 34/2015;REQ 1117/2015 => PL 8122/2014;REQ 1118/2015 => PL 7885/2014;REQ 1121/2015 => PL 7224/2006;REQ 894/2015 CPIPETRO;REQ 1030/2015 CPIPETRO => RCP 3/2015;REQ 1108/2015 CPIPETRO => RCP 3/2015;REQ 1117/2015 CPIPETRO;REQ 1118/2015 CPIPETRO;REQ 1121/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1111186;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1132688;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1249462;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1308012;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1310807;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312966;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313075;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313076;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313080;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1351229;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1374025;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1388868;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1391774;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1392347;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393192"
5,461,51,"PEC 590/2006;PL 789/2007;PL 3131/2008;PL 4148/2008;REQ 1030/2015 => PL 644/2015;PL 846/2015;PLP 37/2015;REQ 1108/2015 => PLP 34/2015;REQ 1117/2015 => PL 8122/2014;REQ 1118/2015 => PL 7885/2014;REQ 1121/2015 => PL 7224/2006;REQ 1125/2015 => PL 6701/2013;REQ 1129/2015 => PL 5773/2013;REQ 1030/2015 CPIPETRO => RCP 3/2015;REQ 1108/2015 CPIPETRO => RCP 3/2015;REQ 1117/2015 CPIPETRO;REQ 1118/2015 CPIPETRO;REQ 1121/2015 CPIPETRO;REQ 1125/2015 CPIPETRO;REQ 1129/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432013;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=453097;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=548411;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1310807;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1311509;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312893;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312966;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313075;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313076;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313080;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313086;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313094;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1374025;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1388868;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1391774;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1392347;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393192;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393197;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393648"
6,468,56,"PL 4330/2004;PEC 590/2006;PL 789/2007;PL 3131/2008;PL 4148/2008;PL 3481/2012;REQ 8530/2013 => PL 4330/2004;MPV 660/2014;MPV 661/2014;PL 846/2015;PLP 37/2015;REQ 1125/2015 => PL 6701/2013;REQ 1129/2015 => PL 5773/2013;REQ 1125/2015 CPIPETRO;REQ 1129/2015 CPIPETRO","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=246979;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=432013;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=453097;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=548411;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=972620;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1126364;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1288673;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1290569;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1311509;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312893;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313086;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313094;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393197;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1393648"
7,466,47,"PL 2505/2000;PL 4330/2004;PEC 457/2005;PL 4148/2008;PL 3481/2012;REQ 8530/2013 => PL 4330/2004;PL 7735/2014;MPV 660/2014;MPV 661/2014;PLP 13/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=21472;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=246979;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=972620;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1126364;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1262635;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1288673;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1290569;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1300100"
8,456,41,"PL 2505/2000;PL 4330/2004;PEC 457/2005;PL 4148/2008;PL 7735/2014;MPV 660/2014;MPV 665/2014;PLP 13/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=21472;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=246979;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=605180;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1262635;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1288673;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295852;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1300100"
9,455,32,"PEC 457/2005;MPV 663/2014;MPV 665/2014","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=337348;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295286;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295852"
10,453,35,"MPV 663/2014;MPV 664/2014;MPV 665/2014","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295286;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295852"
11,462,43,"MPV 664/2014;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
12,461,43,"PEC 182/2007;MPV 664/2014;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1295851;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
13,464,44,"PEC 182/2007;MPV 668/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1296845"
14,468,36,"PEC 182/2007","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056"
15,468,51,"PEC 182/2007;MPV 670/2015;PL 863/2015;MPV 672/2015","http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=516056;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1308230;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1312261;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1313843"
