codProposicao,nomeProposicao,dataVotacao
14493,PEC 171/1993,01/07/2015
14493,PEC 171/1993,01/07/2015
14493,PEC 171/1993,01/07/2015
14493,PEC 171/1993,01/07/2015
14493,PEC 171/1993,02/07/2015
14493,PEC 171/1993,19/08/2015
14493,PEC 171/1993,19/08/2015
18180,PL 2479/2000,20/08/2015
18216,PL 2505/2000,23/04/2015
148200,PEC 215/2003,20/10/2015
148200,PEC 215/2003,03/11/2015
267841,PL 4330/2004,08/04/2015
267841,PL 4330/2004,08/04/2015
267841,PL 4330/2004,14/04/2015
267841,PL 4330/2004,22/04/2015
267841,PL 4330/2004,22/04/2015
270277,PL 4474/2004,24/09/2015
298878,PEC 457/2005,04/03/2015
298878,PEC 457/2005,04/03/2015
298878,PEC 457/2005,04/03/2015
298878,PEC 457/2005,05/05/2015
298878,PEC 457/2005,05/05/2015
298878,PEC 457/2005,05/05/2015
304008,PEC 471/2005,26/08/2015
339287,PEC 590/2006,10/03/2015
339287,PEC 590/2006,24/03/2015
339407,PL 7699/2006,05/03/2015
344866,PLP 25/2007,01/09/2015
344866,PLP 25/2007,02/09/2015
344866,PLP 25/2007,02/09/2015
344866,PLP 25/2007,02/09/2015
348730,PL 789/2007,25/03/2015
351362,PL 1057/2007,26/08/2015
372066,PL 2211/2007,25/02/2015
373327,PEC 182/2007,26/05/2015
373327,PEC 182/2007,26/05/2015
373327,PEC 182/2007,26/05/2015
373327,PEC 182/2007,26/05/2015
373327,PEC 182/2007,27/05/2015
373327,PEC 182/2007,27/05/2015
373327,PEC 182/2007,27/05/2015
373327,PEC 182/2007,27/05/2015
373327,PEC 182/2007,28/05/2015
373327,PEC 182/2007,28/05/2015
373327,PEC 182/2007,28/05/2015
373327,PEC 182/2007,10/06/2015
373327,PEC 182/2007,10/06/2015
373327,PEC 182/2007,10/06/2015
373327,PEC 182/2007,10/06/2015
373327,PEC 182/2007,10/06/2015
373327,PEC 182/2007,11/06/2015
373327,PEC 182/2007,11/06/2015
373327,PEC 182/2007,11/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,16/06/2015
373327,PEC 182/2007,17/06/2015
373327,PEC 182/2007,17/06/2015
373327,PEC 182/2007,17/06/2015
373327,PEC 182/2007,07/07/2015
373327,PEC 182/2007,15/07/2015
373327,PEC 182/2007,15/07/2015
373327,PEC 182/2007,15/07/2015
373327,PEC 182/2007,15/07/2015
373327,PEC 182/2007,04/08/2015
373327,PEC 182/2007,12/08/2015
388449,PL 3131/2008,26/03/2015
412728,PL 4148/2008,25/03/2015
412728,PL 4148/2008,28/04/2015
463155,PEC 443/2009,04/08/2015
463155,PEC 443/2009,06/08/2015
463155,PEC 443/2009,06/08/2015
463155,PEC 443/2009,06/08/2015
463155,PEC 443/2009,11/08/2015
526536,PLP 106/2011,26/08/2015
537900,PL 3481/2012,31/03/2015
537900,PL 3481/2012,31/03/2015
542838,PL 3771/2012,10/03/2015
544681,PEC 172/2012,02/09/2015
544681,PEC 172/2012,02/09/2015
544681,PEC 172/2012,02/09/2015
544681,PEC 172/2012,22/09/2015
544681,PEC 172/2012,23/09/2015
544681,PEC 172/2012,23/09/2015
544724,PLP 177/2012,24/02/2015
551712,PEC 197/2012,03/02/2015
552295,PL 4246/2012,11/02/2015
553947,PEC 209/2012,30/09/2015
571550,REQ 7492/2013 => PL 4372/2012,03/03/2015
578047,PLP 278/2013,15/10/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,14/07/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
580148,PL 5735/2013,09/09/2015
585608,PLP 302/2013,12/03/2015
585608,PLP 302/2013,12/03/2015
585608,PLP 302/2013,17/03/2015
585608,PLP 302/2013,17/03/2015
585608,PLP 302/2013,17/03/2015
585608,PLP 302/2013,17/03/2015
585608,PLP 302/2013,17/03/2015
585608,PLP 302/2013,17/03/2015
590796,REQ 8530/2013 => PL 4330/2004,07/04/2015
591830,PDC 1287/2013,19/03/2015
593856,PL 6446/2013,20/10/2015
593856,PL 6446/2013,20/10/2015
593856,PL 6446/2013,20/10/2015
600023,PEC 352/2013,03/02/2015
602599,PDC 1410/2013,05/02/2015
602633,PEC 358/2013,10/02/2015
602633,PEC 358/2013,10/02/2015
603566,PLP 366/2013,10/09/2015
603566,PLP 366/2013,16/09/2015
603566,PLP 366/2013,16/09/2015
603566,PLP 366/2013,16/09/2015
603566,PLP 366/2013,16/09/2015
611193,REQ 9909/2014 => PL 5201/2013,26/02/2015
611966,PEC 395/2014,21/10/2015
613662,PL 7469/2014,17/03/2015
613662,PL 7469/2014,18/03/2015
619150,PL 7735/2014,10/02/2015
619150,PL 7735/2014,27/04/2015
619150,PL 7735/2014,27/04/2015
622072,PL 7924/2014,10/03/2015
796341,MPV 660/2014,07/04/2015
796341,MPV 660/2014,15/04/2015
808898,MPV 661/2014,09/04/2015
808898,MPV 661/2014,09/04/2015
808898,MPV 661/2014,09/04/2015
818166,REQ 10903/2014 => PL 1462/2007,09/09/2015
860923,MPV 663/2014,12/05/2015
860923,MPV 663/2014,12/05/2015
860923,MPV 663/2014,12/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,13/05/2015
865929,MPV 664/2014,14/05/2015
865929,MPV 664/2014,14/05/2015
865929,MPV 664/2014,14/05/2015
865929,MPV 664/2014,14/05/2015
865929,MPV 664/2014,14/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,06/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
865930,MPV 665/2014,07/05/2015
944251,PL 10/2015,20/08/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,19/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
944494,MPV 668/2015,20/05/2015
946620,PLP 13/2015,16/04/2015
947630,REQ 567/2015,26/02/2015
949149,PRC 11/2015,12/03/2015
955528,REQ 739/2015 => PL 6361/2013,04/03/2015
961716,REQ 784/2015,04/03/2015
962435,REQ 796/2015 => PL 2177/2011,05/03/2015
994612,PLP 25/2015,13/08/2015
996537,REQ 894/2015 => PL 623/2015,24/03/2015
996553,MPV 670/2015,17/06/2015
996553,MPV 670/2015,17/06/2015
996553,MPV 670/2015,17/06/2015
1049075,REQ 1030/2015 => PL 644/2015,24/03/2015
1049167,REQ 1041/2015 => PL 6232/2013,25/08/2015
1049380,PL 846/2015,26/03/2015
1050558,MPV 671/2015,07/07/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050643,PL 863/2015,25/06/2015
1050788,PLP 37/2015,24/03/2015
1050788,PLP 37/2015,30/06/2015
1050795,REQ 1108/2015 => PLP 34/2015,24/03/2015
1050835,REQ 1117/2015 => PL 8122/2014,24/03/2015
1050836,REQ 1118/2015 => PL 7885/2014,24/03/2015
1050840,REQ 1121/2015 => PL 7224/2006,24/03/2015
1050845,REQ 1125/2015 => PL 6701/2013,26/03/2015
1050847,REQ 1126/2015 => PL 3111/2012,25/08/2015
1050852,REQ 1129/2015 => PL 5773/2013,30/03/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1150196,MPV 672/2015,24/06/2015
1155251,REQ 567/2015 CPIPETRO,26/02/2015
1194736,REQ 1219/2015 => PL 6726/2013,06/10/2015
1228455,PDC 57/2015,20/08/2015
1228455,PDC 57/2015,08/09/2015
1228940,REQ 1681/2015 => PL 1358/2015,30/06/2015
1243807,REQ 739/2015 CPIPETRO,04/03/2015
1279911,REQ 784/2015 CPIPETRO,04/03/2015
1280621,MPV 675/2015 ,03/09/2015
1280721,REQ 796/2015 CPIPETRO,05/03/2015
1301437,REQ 2027/2015 => PDC 1408/2013,10/09/2015
1306690,REQ 2118/2015 => PL 1780/2015,10/09/2015
1504953,MPV 676/2015,30/09/2015
1504953,MPV 676/2015,30/09/2015
1514014,PL 2016/2015,12/08/2015
1514136,PL 2020/2015,04/08/2015
1514282,REQ 894/2015 CPIPETRO,24/03/2015
1515648,MPV 678/2015 ,07/10/2015
1515648,MPV 678/2015 ,08/10/2015
1515648,MPV 678/2015 ,08/10/2015
1515648,MPV 678/2015 ,08/10/2015
1515648,MPV 678/2015 ,13/10/2015
1515649,MPV 679/2015 ,17/09/2015
1526944,PEC 74/2015,17/11/2015
1526944,PEC 74/2015,15/12/2015
1526944,PEC 74/2015,15/12/2015
1554118,REQ 2409/2015 => PL 5230/2013,25/08/2015
1555340,PLP 124/2015,23/09/2015
1555340,PLP 124/2015,23/09/2015
1570705,REC 49/2015 => PL 8170/2014,18/08/2015
1570898,MPV 681/2015 ,15/09/2015
1570899,MPV 682/2015 ,21/10/2015
1579302,REQ 2507/2015 => PLP 124/2015,17/09/2015
1594437,MPV 685/2015,03/11/2015
1594437,MPV 685/2015,03/11/2015
1594437,MPV 685/2015,03/11/2015
1594437,MPV 685/2015,03/11/2015
1594437,MPV 685/2015,17/11/2015
1594497,PLN 5/2015 CN,02/12/2015
1594497,PLN 5/2015 CN,02/12/2015
1671673,MPV 687/2015 ,27/10/2015
1671673,MPV 687/2015 ,27/10/2015
1671859,REQ 2727/2015 => PL 8170/2014,25/08/2015
1672013,REQ 2738/2015 => PL 2455/2015,02/09/2015
1672065,MPV 688/2015 ,10/11/2015
1672065,MPV 688/2015 ,10/11/2015
1672065,MPV 688/2015 ,10/11/2015
1672065,MPV 688/2015 ,10/11/2015
1672065,MPV 688/2015 ,10/11/2015
1672065,MPV 688/2015 ,10/11/2015
1672259,REQ 1030/2015 CPIPETRO => RCP 3/2015,24/03/2015
1673072,REQ 1041/2015 CPIPETRO,25/08/2015
1673126,PL 2750/2015,22/10/2015
1700884,MPV 691/2015 ,24/11/2015
1700884,MPV 691/2015 ,24/11/2015
1700884,MPV 691/2015 ,24/11/2015
1700884,MPV 691/2015 ,24/11/2015
1700884,MPV 691/2015 ,24/11/2015
1712864,REQ 2971/2015 => PL 4059/2012,16/09/2015
1715687,PL 2960/2015,28/10/2015
1715687,PL 2960/2015,04/11/2015
1715687,PL 2960/2015,04/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
1715687,PL 2960/2015,11/11/2015
1734344,REQ 3048/2015 => PL 6401/2009,22/09/2015
1734841,REQ 1108/2015 CPIPETRO => RCP 3/2015,24/03/2015
1744988,REQ 3101/2015 => PL 2430/2003,29/09/2015
1786206,REQ 3117/2015 => PL 3075/2015,30/09/2015
1805441,REQ 1117/2015 CPIPETRO,24/03/2015
1805529,REQ 1118/2015 CPIPETRO,24/03/2015
1805865,REQ 1121/2015 CPIPETRO,24/03/2015
1805871,REQ 1125/2015 CPIPETRO,26/03/2015
1805872,REQ 1126/2015 CPIPETRO,25/08/2015
1806117,REQ 1129/2015 CPIPETRO,30/03/2015
2017337,PDC 238/2015,05/11/2015
